#  Bakersfield, California Precipitation
# Units: Inches
Date,Value
200101,1.81
200102,2.03
200103,0.73
200104,0.81
200105,-0
200106,0
200107,0.05
200108,0
200109,0
200110,0.21
200111,1.08
200112,0.67
200201,0.52
200202,0.26
200203,0.43
200204,0.25
200205,0.13
200206,0
200207,0
200208,0
200209,-0
200210,-0
200211,1.3
200212,1.4
200301,0.01
200302,1.5
200303,0.37
200304,1.2
200305,0.16
200306,0
200307,-0
200308,0.04
200309,0.05
200310,0.2
200311,0.32
200312,1.28
200401,0.57
200402,1.63
200403,0.53
200404,0.02
200405,0
200406,0
200407,0
200408,0
200409,-0
200410,1.54
200411,0.18
200412,1.09
200501,2.52
200502,1.52
200503,1.12
200504,0.52
200505,0.74
200506,0
200507,0
200508,0.01
200509,0.08
200510,0.17
200511,0.23
200512,1.11
200601,0.75
200602,0.3
200603,1.91
200604,1.99
200605,0.3
200606,0
200607,-0
200608,0
200609,0
200610,0.29
200611,0.02
200612,0.61
200701,0.21
200702,0.99
200703,0.44
200704,0.52
200705,-0
200706,0
200707,-0
200708,0
200709,0.13
200710,0.28
200711,0.06
200712,0.36
200801,0.66
200802,0.82
200803,-0
200804,-0
200805,0.08
200806,0
200807,0
200808,0
200809,-0
200810,-0
200811,1.06
200812,0.63
200901,0.37
200902,1.71
200903,0.36
200904,0.41
200905,0.35
200906,0.06
200907,0
200908,0
200909,0.01
200910,0.08
200911,0.1
200912,1.66
201001,1.82
201002,1.77
201003,0.26
201004,1.14
201005,0.27
201006,0
201007,-0
201008,0
201009,0
201010,0.6
201011,0.84
201012,5.82
201101,0.4
201102,0.49
201103,1.67
201104,0.21
201105,0.23
201106,0.08
201107,-0
201108,-0
201109,-0
201110,0.55
201111,0.76
201112,-0
201201,0.44
201202,0.29
201203,1.27
201204,1.62
201205,0
201206,0
201207,0.02
201208,-0
201209,-0
201210,0.02
201211,0.1
201212,0.66
201301,0.83
201302,0.6
201303,0.83
201304,0.05
201305,0.05
201306,0
201307,-0
201308,0
201309,-0
201310,0.03
201311,0.94
201312,0.1
201401,0.12
201402,0.32
201403,0.36
201404,0.5
201405,0.04
201406,0
201407,-0
201408,-0
201409,0.01
201410,0.64
201411,0.01
201412,2.02
201501,0.69
201502,0.9
201503,0.27
201504,0.08
201505,0.68
201506,-0
201507,0.04
201508,0
201509,-0
201510,0.14
201511,0.61
201512,0.58
201601,1.95
201602,0.18
201603,0.45
201604,0.97
201605,0.55
201606,0
201607,0
201608,0
201609,0
201610,0.24
201611,0.38
201612,2.41
201701,2.76
201702,1.46
201703,0.16
201704,0.35
201705,0.06
201706,0
201707,0
201708,-0
201709,0.52
201710,-0
201711,0.03
201712,0.04
201801,1.03
201802,0.22
201803,2.41
201804,0.2
201805,0.02
201806,0
201807,0
201808,0
201809,0
201810,0
201811,0.69
201812,0.62
201901,1.39
201902,1.21
201903,2.02
201904,0.11
201905,1.57
201906,0.23
201907,-0
201908,0
201909,0.02
201910,0
201911,1.07
201912,1.52
202001,0.24
202002,0.01
202003,1.57
202004,2.61
202005,0.16
202006,0.02
202007,0
202008,-0
202009,0
202010,-0
202011,0.39
202012,0.35
202101,0.98
202102,0.09
202103,0.77
202104,0.19
202105,0
202106,-0
202107,-0
202108,0
202109,-0
202110,0.94
202111,0.01
202112,2.6
202201,0.01
202202,0.11
202203,1.34
202204,0.39
202205,0
202206,0.01
202207,-0
202208,-0
202209,0
202210,0
202211,0.66
202212,1.69
202301,1.97
202302,2.44
202303,2.98
202304,-0
202305,0.15
202306,0.37
202307,0
202308,1.08
202309,-0
202310,0.3
202311,0.02
202312,0.64
202401,1.65
202402,2.21
202403,1.12
202404,0.78
202405,0.1
202406,0
202407,0
202408,-0
202409,-0
202410,-0
202411,1.18
202412,0.41
202501,0.26
202502,0.59
202503,1.49
202504,0.28
202505,-0
202506,0.01
202507,0
202508,-0
202509,0.07
202510,0.9
202511,2.44
202512,1.36
202601,1.01
