#  Bakersfield, California Average Temperature
# Units: Degrees Fahrenheit
Date,Value
200101,48.9
200102,51.3
200103,61.3
200104,61.1
200105,78.3
200106,81.3
200107,83.3
200108,84.4
200109,79.3
200110,71.1
200111,58.4
200112,49.2
200201,46.6
200202,53.8
200203,57.1
200204,65
200205,70.2
200206,80.2
200207,85.7
200208,82.6
200209,78.9
200210,66.8
200211,56.9
200212,50.6
200301,51.4
200302,52.7
200303,59.3
200304,59.7
200305,71.6
200306,80.7
200307,88
200308,82.6
200309,81.7
200310,73
200311,55
200312,52.6
200401,49.5
200402,53.8
200403,65.7
200404,67.7
200405,71.7
200406,77.9
200407,84.5
200408,82.8
200409,77
200410,65.3
200411,52.9
200412,47
200501,49.3
200502,54.5
200503,58.6
200504,60.6
200505,69.7
200506,74.3
200507,88.2
200508,85.3
200509,74.1
200510,66.5
200511,58.4
200512,52.7
200601,50.2
200602,54.1
200603,52.9
200604,60.8
200605,73.1
200606,81.8
200607,88.4
200608,81.6
200609,77.5
200610,64.4
200611,55.9
200612,48.8
200701,44.9
200702,53.2
200703,62
200704,64.6
200705,73.3
200706,79.4
200707,84.1
200708,83.5
200709,74.6
200710,65.1
200711,58.3
200712,46.8
200801,49.4
200802,53
200803,58.5
200804,62.8
200805,71.2
200806,80.2
200807,85.4
200808,85.6
200809,79.4
200810,68.4
200811,58.2
200812,46.2
200901,50.8
200902,52.5
200903,57.3
200904,63.7
200905,76.5
200906,76.5
200907,87.6
200908,83
200909,81.7
200910,64.6
200911,55.8
200912,48.4
201001,50.5
201002,54.3
201003,58.1
201004,59.7
201005,66.1
201006,78.2
201007,85.1
201008,81.5
201009,77.8
201010,69.3
201011,54.9
201012,52.1
201101,48
201102,50.2
201103,56.1
201104,61.9
201105,66.4
201106,75.5
201107,83.3
201108,83.2
201109,81.1
201110,68.8
201111,54.4
201112,45.9
201201,50.8
201202,53
201203,57
201204,63.8
201205,71.9
201206,77.6
201207,83.7
201208,86.5
201209,81.7
201210,68.7
201211,58.3
201212,50.2
201301,46.7
201302,51.3
201303,60.5
201304,66.7
201305,72.7
201306,80.4
201307,87.6
201308,82.7
201309,76.9
201310,65.8
201311,58.2
201312,47.7
201401,54.2
201402,56.9
201403,62.2
201404,66.7
201405,73.9
201406,81.5
201407,87.3
201408,85
201409,80.9
201410,71.3
201411,59.4
201412,53.7
201501,50.3
201502,58.9
201503,64.3
201504,65.5
201505,69.9
201506,83.3
201507,84.5
201508,84
201509,80.4
201510,72.6
201511,53.5
201512,47.8
201601,51.8
201602,56.2
201603,60.5
201604,66.9
201605,72.8
201606,82.6
201607,86.2
201608,85.3
201609,78.5
201610,68
201611,59
201612,49.9
201701,50.1
201702,55.9
201703,59.9
201704,64.8
201705,72.8
201706,82.8
201707,89.1
201708,87.9
201709,79.3
201710,68.2
201711,60.2
201712,50.1
201801,53.7
201802,54
201803,58.8
201804,66.7
201805,72.3
201806,80.5
201807,89.6
201808,84.6
201809,79
201810,69
201811,58.6
201812,51.1
201901,53.4
201902,49.8
201903,57.4
201904,67.8
201905,68
201906,81.9
201907,85.1
201908,85.3
201909,77.6
201910,65.5
201911,58.3
201912,52.5
202001,48.5
202002,55.2
202003,57.5
202004,64.6
202005,73.2
202006,79.1
202007,85.5
202008,87.2
202009,80.6
202010,72.1
202011,55.4
202012,49.9
202101,51.3
202102,54.1
202103,57.2
202104,66.7
202105,74
202106,83.4
202107,90
202108,85.9
202109,80.2
202110,65.6
202111,57.3
202112,49
202201,50.1
202202,53.4
202203,60.8
202204,64.5
202205,71.4
202206,81.3
202207,86.8
202208,87.4
202209,82.4
202210,71.6
202211,53.3
202212,47.8
202301,50.4
202302,49.6
202303,53.5
202304,63.2
202305,71.1
202306,74.9
202307,87.6
202308,84.5
202309,76.9
202310,69.4
202311,58.9
202312,53.5
202401,51.5
202402,54.9
202403,57.3
202404,62.9
202405,72
202406,83.3
202407,90.8
202408,84.4
202409,80.3
202410,72.4
202411,55
202412,52
202501,49.3
202502,55.7
202503,57
202504,64.7
202505,73.2
202506,81.3
202507,83.2
202508,85.7
202509,80.1
202510,65.9
202511,59.1
202512,48.1
202601,49.9
